Checkpoint (epoch),Learning rate,Batch size, train dice mean,train dice std,train iou mean,train iou std,train loss mean,train loss std, val dice mean,val dice std,val iou mean,val iou std,val loss mean,val loss std
100,1e-4,32,0.0984906815798021,0.08809429695116255,0.019220020385526653,0.012714652546644759,0.8345904065668583,0.13430527853019408,0.019851273461524183,0.013232412814706057,0.16386628555599592,0.13298487083661384,0.01346702589406572,0.010475144625027872
200,1e-4,32,0.31121936772321346,0.23049799498807663,0.020789978656111877,0.01082289431058344,0.5804084088355302,0.2773887915866994,0.02343854444360363,0.011353390941858058,0.415133050691802,0.27446100985262684,0.020437749874068413,0.011585664801296355
300,1e-4,32,0.42465295911533757,0.2476009384508903,0.020994877191731993,0.009608749989359748,0.4613530619045098,0.2823556023079706,0.023705934875599823,0.010125089810279235,0.5341269556361561,0.2804166296768736,0.02301357093459072,0.011098769683977426
400,1e-4,32,0.4895478288639569,0.24218791342556084,0.0226631906226307,0.015344386412693783,0.39656102770194407,0.2691041705684768,0.02535579942396872,0.015580685714409778,0.5995112888363655,0.2680061718255232,0.026272110377317623,0.016107394434718682
500,1e-4,32,0.5309431799129583,0.23198244379627708,0.02390759487690127,0.017951070179464762,0.35605671176016324,0.2540083415720303,0.026480575086404067,0.018027765665137443,0.6404693915864452,0.25336883041726277,0.028597579194026005,0.01834251425571852
600,1e-4,32,0.5610008023928386,0.22226016281693053,0.02476775110880919,0.021406529927104078,0.3275092775523662,0.24056937892954455,0.027311366476650334,0.021359181700612864,0.6694829953908921,0.24028488639783838,0.030225381325994245,0.02082798117985997
700,1e-4,32,0.5844384458036428,0.21368638034675372,0.024277467924109526,0.02190186566870353,0.30570391465829944,0.22907894069844068,0.026802717547098124,0.021828258376178612,0.6916740363708564,0.229044448514858,0.030078931446066465,0.020972050253608477
800,1e-4,32,0.6027131423212704,0.2056942534489377,0.02414776611825087,0.02255078394163975,0.2888751656850799,0.2188942531828365,0.026645207501158404,0.02250252460593447,0.7087068221233785,0.21897369561976462,0.030298009302468412,0.021444150995320918
900,1e-4,32,0.617770282436007,0.19860516224594216,0.02416030118070385,0.022896591416859534,0.27525402523494424,0.20998317814604137,0.026556891981975823,0.02283691591239672,0.7225769939757883,0.2101866104713541,0.03051599172989288,0.021727282074379184
1000,1e-4,32,0.6300847452614922,0.19206206782404056,0.024321220534482282,0.024155801215800993,0.26416398086026305,0.20202135069222424,0.026739802864525538,0.02407933436606378,0.7337903925860301,0.2022699188823417,0.0309980419378704,0.022647298918361196
